skill,question,expected_keywords,,,,,,,
Python,What is a Python list comprehension and how do you use it?,list,comprehension,loop,concise,iterable,syntax,,
Python,Explain the difference between a list and a tuple in Python.,list,tuple,mutable,immutable,syntax,performance,,
Python,How do you create a virtual environment in Python?,virtualenv,venv,environment,activate,isolated,,,
Python,What are Python generators and how do they differ from lists?,generator,yield,lazy,memory,iterable,next,,
Python,How do you implement multithreading in Python?,threading,thread,GIL,parallel,lock,synchronize,,
Python,Explain the use of the lambda function in Python with an example.,lambda,anonymous,function,inline,map,filter,,
Python,How do you read and write CSV files in Python?,csv,reader,writer,file,pandas,open,,
Python,What is the purpose of __init__ in a Python class?,init,constructor,class,instance,self,initialize,,
Python,How do you use the map() function in Python?,map,function,iterable,apply,transform,lambda,,
Python,Explain the Global Interpreter Lock (GIL) in Python.,GIL,threading,concurrency,CPython,performance,,,
Python,How do you perform unit testing in Python?,unittest,pytest,test,assert,framework,mock,,
Python,What is the difference between __str__ and __repr__ in Python?,str,repr,string,representation,object,debugging,,
Python,How do you handle file I/O operations in Python?,file,open,read,write,close,with,context,
Python,What are Python modules and how do you create one?,module,import,package,file,reusable,namespace,,
Python,Explain how to use try, except, and else in Python.,try,except,else,error,handling,exception
Python,How do you use the zip() function in Python?,zip,iterable,combine,tuple,parallel,unpack,,
Python,What is a Python dictionary and how do you iterate over it?,dictionary,key,value,items,loop,mapping,,
Python,How do you implement a context manager in Python?,context,manager,with,enter,exit,resource,,
Python,What is the difference between == and is in Python?,equality,identity,comparison,object,reference,,,
Python,How do you use regular expressions in Python?,regex,re,pattern,match,search,substitute,,
Java,What is the difference between ArrayList and LinkedList in Java?,ArrayList,LinkedList,performance,dynamic,access,,,
Java,Explain the concept of polymorphism in Java.,polymorphism,override,overload,inheritance,dynamic,,,
Java,How do you handle exceptions in Java?,try,catch,finally,throw,throws,exception,,
Java,What is the purpose of the static keyword in Java?,static,class,instance,method,variable,shared,,
Java,How does Java's garbage collection work?,garbage,collection,memory,finalize,JVM,automatic,,
Java,What is an interface in Java and how is it different from a class?,interface,abstract,implement,multiple,contract,,,
Java,Explain the final keyword in Java.,final,constant,immutable,class,method,variable,,
Java,How do you create and run a thread in Java?,thread,Runnable,extend,start,run,concurrency,,
Java,What is the difference between public, private, and protected?,access,modifier,public,private,protected,scope
Java,How do you use the synchronized keyword in Java?,synchronized,thread,lock,concurrency,monitor,,,
Java,What is a Java Stream and how do you use it?,stream,functional,pipeline,map,filter,collect,,
Java,Explain the difference between HashMap and TreeMap.,HashMap,TreeMap,order,performance,key,value,,
Java,What is the purpose of the transient keyword in Java?,transient,serialization,ignore,object,persist,,,
Java,How do you implement a singleton pattern in Java?,singleton,instance,static,private,thread-safe,,,
Java,What is the difference between equals() and == in Java?,equals,comparison,reference,object,identity,,,
Java,How do you use annotations in Java?,annotation,metadata,override,custom,runtime,,,
Java,What is the Java Collections Framework?,collections,framework,list,set,map,utility,,
Java,How do you connect to a database in Java using JDBC?,JDBC,driver,connection,statement,query,database,,
Java,What is the purpose of the volatile keyword in Java?,volatile,thread,visibility,memory,synchronization,,,
Java,Explain dependency injection in Java with an example.,dependency,injection,Spring,constructor,setter,,,
SQL,What is a primary key and why is it important?,primary,key,unique,identifier,table,constraint,,
SQL,How do you write a subquery in SQL?,subquery,nested,select,inner,outer,correlated,,
SQL,Explain the difference between DELETE and TRUNCATE.,delete,truncate,table,data,rollback,performance,,
SQL,What is a foreign key and how is it used?,foreign,key,reference,table,relationship,constraint,,
SQL,How do you use the GROUP BY clause in SQL?,group,by,aggregate,count,sum,having,result,
SQL,What is the difference between UNION and UNION ALL?,union,union all,combine,duplicate,performance,,,
SQL,How do you create an index in SQL?,index,create,table,performance,query,unique,,
SQL,Explain the HAVING clause in SQL.,having,group,by,filter,aggregate,condition,,
SQL,What is normalization in SQL databases?,normalization,database,redundancy,1NF,2NF,3NF,,
SQL,How do you perform a self-join in SQL?,self,join,table,alias,relationship,query,,
SQL,What is a stored procedure and how do you create one?,stored,procedure,reusable,query,parameters,execute,,
SQL,How do you use the CASE statement in SQL?,case,conditional,logic,select,when,else,,
SQL,What is the difference between COUNT(*) and COUNT(column)?,count,star,column,null,rows,aggregate,,
SQL,How do you optimize a SQL query?,optimize,index,query,performance,explain,analyze,,
SQL,What is a view in SQL and how do you create one?,view,virtual,table,query,create,reusable,,
SQL,How do you handle transactions in SQL?,transaction,commit,rollback,begin,ACID,database,,
SQL,What is the difference between CHAR and VARCHAR data types?,char,varchar,fixed,variable,length,storage,,
SQL,How do you use the LIKE operator in SQL?,like,pattern,wildcard,percent,underscore,search,,
SQL,What is a trigger in SQL and how do you create one?,trigger,event,table,action,insert,update,delete,
SQL,How do you pivot a table in SQL?,pivot,table,rows,columns,aggregate,transform,,
Generic,Describe a time you debugged a complex issue.,debug,issue,problem,solution,tools,root-cause,,
Generic,How do you prioritize tasks in a project with tight deadlines?,prioritize,tasks,deadline,planning,time,urgency,,
Generic,Explain a situation where you improved a process.,process,improvement,efficiency,solution,impact,,,
Generic,How do you handle conflicting requirements from stakeholders?,conflict,requirements,stakeholders,communication,,,,
Generic,Describe a time you worked on a cross-functional team.,team,cross-functional,collaboration,role,success,,,
Generic,How do you ensure code quality in your projects?,code,quality,review,testing,standards,tools,,
Generic,What steps do you take to learn a new programming language?,learn,programming,language,practice,resources,,,
